namseq,coverage
38777,2533.367432150313
38758,374.2815279958137
38788,403.7310027213733
38789,260.14320134087575
38755,330.0375596816976
38747,228.80958977091103
38784,347.34160895045284
38757,222.16091219096333
38771,220.87375415282392
38761,283.20266351627106
38791,356.4848256564787
38767,357.7270567911898
38770,216.1148568341437
38752,277.38642015353014
13058,343.12087793274947
38760,395.2398615767276
38765,343.71967975765443
38775,238.25933946940987
38773,168.17831978319782
27323,238.60581092801388
38785,268.3874674761492
38754,217.77568065950754
38786,198.28197895193665
38759,1692.9373779031907
27312,294.0233467260289
38790,349.5862031504617
38753,184.28816690209715
38768,221.23288415561834
25951,188.5870014128899
38762,172.04916249728083
38778,729.3845986276004
27904,227.26416122004358
38748,209.26713896457767
38769,348.05855413804386
27318,247.99727401591974
38781,326.0745910577972
38756,357.7388222464558
17742,312.841387585906
27316,328.0644774165394
14138,197.5462285776662
14147,281.2614393360271
14137,166.5600830238147
2623,320.1537032991042
31738,238.76084343930953
27356,299.26907937896345
27300,291.9321811419821
27357,321.5943757522705
27324,253.40808058688273
14130,261.8840547945205
14207,265.94443835616437
14133,199.98408517177037
14164,3106.0677500823545
38751,344.69327915660006
14156,162.9331063268893
14123,235.693287927057
14153,236.6226228426954
13880,253.6242850857897
14134,380.5805457746479
13950,219.36185442131924
27225,264.8136563876652
27345,292.90681793149025
14233,157.7431687968268
27310,275.91730981256893
14113,172.4908267020336
14472,229.69016594275533
14114,170.3853898646381
14132,220.6024696952532
38783,392.39913206661976
27361,398.9561320754717
14104,310.5570987654321
14047,206.88238244514108
14473,131.70620115956643
38776,252.04089876293864
27381,218.46232049815734
14106,145.862213740458
27344,266.75080530859424
27330,241.52432074221338
27040,225.4271948608137
14518,176.91352370689654
27255,115.12469569921558
27238,182.9511215729715
14234,201.74058635542588
14210,157.88746766312158
14175,232.6283418553689
27221,244.35145888594164
14235,275.9089669797031
14040,218.98616078370392
14431,331.25700498132005
27302,2269.131152696965
14196,259.8499292118924
14247,114.3499053030303
27232,299.34092346616063
27286,291.81573926868043
27417,355.9885332059245
14019,195.53098613987575
14458,293.0891262755102
13760,288.2080804854679
14457,224.6559053859677
13944,226.4742617395514
27418,201.74890297415894
14177,223.8673386441229
14078,258.98585595838074
27364,226.23044259349993
14433,270.17157343801114
14553,274.36359175662415
26979,205.52682685977618
14274,131.61638145871407
14517,318.3977974303354
27053,240.79281255272483
14254,197.76428692555535
27206,166.20020516327577
14270,164.2390560875513
27249,143.5737394596455
27239,231.1526334026334
14681,298.37983689050844
14173,230.19809027777777
13971,260.85781659388647
27250,242.21013986013986
13954,154.99370277078086
27303,290.97306152166
14285,116.89961671837926
14028,274.68031555221637
14006,310.36589030803907
27049,287.5581440496991
14498,256.2030308917816
27190,220.23677932405568
27285,270.20222222222225
14072,226.79959473150961
14051,203.61655508216677
14020,210.30984126984126
13955,171.95182036189232
27291,391.2529488859764
27262,261.2356673960613
27403,139.03979771328056
14377,127.54300243201415
14511,161.96779209240339
27072,234.18662519440124
27402,200.46644444444445
